gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC190507.1_FG007,0.761189674,0.041002466,0.308677671,0.132832629,0.894325749,NA
AC190526.3_FG004,2.736449861,-0.118604607,0.276024151,-0.429689237,0.667421714,NA
AC190544.2_FG004,0.131826722,0.006653001,0.132380631,0.050256607,0.959917902,NA
AC190549.3_FG004,0,NA,NA,NA,NA,NA
AC190560.2_FG002,0.048355428,0.003814255,0.127345089,0.02995212,0.976105239,NA
AC190565.2_FG003,0,NA,NA,NA,NA,NA
AC190570.3_FG003,0.153647948,-0.098535745,0.150667538,-0.653994524,0.513115334,NA
AC190572.4_FG001,0.170517993,0.103935536,0.13586005,0.765019117,0.444260161,NA
AC190576.2_FG002,0,NA,NA,NA,NA,NA
AC190587.3_FG005,0.117945402,-0.002186045,0.132416205,-0.016508893,0.986828407,NA
AC190589.2_FG002,0.164202593,0.12094931,0.154946698,0.780586559,0.435045699,NA
AC190590.3_FG001,0.516240664,-0.182816116,0.292045453,-0.625985146,0.531324684,NA
AC190609.3_FG001,0.33865837,-0.007987519,0.14591471,-0.054741013,0.956344795,NA
AC190609.3_FG002,97.06118588,0.259313826,0.270880145,0.957300973,0.338415364,0.768317434
AC190609.3_FG003,26.84595647,0.322767056,0.32879521,0.98166593,0.326264455,0.760441321
AC190609.3_FG004,17.62640437,-0.326062117,0.349328169,-0.933397722,0.350614656,0.776713978
AC190609.3_FG005,0.236640839,0.065400127,0.160816128,0.406676417,0.684245664,NA
AC190613.3_FG001,0.197672643,-0.002945671,0.161707884,-0.018216004,0.985466535,NA
AC190614.3_FG004,0,NA,NA,NA,NA,NA
