gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC177844.2_FG003,0,NA,NA,NA,NA,NA
AC177850.2_FG003,14.82992451,4.731203677,0.868197087,5.44945813,5.05E-08,1.27E-06
AC177850.2_FG005,164.343089,-0.155833058,0.315524625,-0.493885565,0.621387,0.804281887
AC177860.4_FG002,2.373366616,-2.066938099,0.912265249,-2.265720526,0.0234685,0.091856987
AC177890.3_FG005,0.326129215,0.351710997,0.608149604,0.578329731,0.563041525,NA
AC177893.3_FG003,0,NA,NA,NA,NA,NA
AC177893.3_FG006,0.140608428,-0.004871223,0.533132874,-0.009136978,0.992709848,NA
AC177897.2_FG002,41.31862918,-1.608333198,0.644218779,-2.49656367,0.012540315,0.057217744
AC177897.2_FG022,0.65968873,0.566948186,0.737554726,0.768686263,0.442079582,NA
AC177897.2_FG029,0.140608428,-0.004871223,0.533132874,-0.009136978,0.992709848,NA
AC177899.2_FG009,7.605828903,-0.968628763,0.862727323,-1.122751926,0.261542868,0.492320343
AC177899.2_FG012,0.419170794,0.06985236,0.62601729,0.111582157,0.91115472,NA
AC177900.4_FG001,0,NA,NA,NA,NA,NA
AC177905.2_FG001,0,NA,NA,NA,NA,NA
AC177905.2_FG003,6.188771148,-0.11877822,0.859011867,-0.138273083,0.890024597,0.955360695
AC177908.3_FG002,210.4902549,-0.64416739,0.32721676,-1.968625904,0.048996066,0.158547191
AC177908.3_FG003,0,NA,NA,NA,NA,NA
AC177908.3_FG006,0.302598496,-0.267138444,0.600484793,-0.444871288,0.656412773,NA
AC177911.4_FG005,0,NA,NA,NA,NA,NA
AC177920.3_FG008,0,NA,NA,NA,NA,NA
AC177922.2_FG002,34.56991894,-3.113192204,0.72859504,-4.272870433,1.93E-05,0.000263525
AC177924.2_FG001,4.585640783,-3.497483869,0.946292359,-3.695986589,0.000219035,0.002124654
AC177924.2_FG003,98.98935331,-0.597231911,0.781515363,-0.764197275,0.44474969,0.671639804
AC177926.2_FG003,0,NA,NA,NA,NA,NA
AC177930.2_FG001,0,NA,NA,NA,NA,NA
AC177930.2_FG002,0.154130401,-0.004655935,0.548703858,-0.008485332,0.993229766,NA
AC177936.6_FG008,679.1960084,0.028614269,0.274241613,0.104339632,0.916899828,0.968582456
AC177941.3_FG001,0,NA,NA,NA,NA,NA
AC177941.3_FG006,0.175257969,-0.536477822,0.551608518,-0.972569864,0.330767127,NA
AC177946.2_FG004,41.7853381,-1.138670703,0.679958917,-1.674616913,0.094009419,0.249234777
AC177947.2_FG003,5.358753726,-0.112107431,0.955399878,-0.117340847,0.906589957,0.963464657
